_id,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,rank,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
1,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3350,2900,0.0573088,3200,96.1,4000,3727,3701,2013,97.4
2,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2700,2700,0.0573088,2700,95.7,2900,2938,2850,2013,97.1
3,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),Nanyang Technological University,3000,2700,0.0573088,3000,85.7,3500,3214,3053,2013,90.9
4,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3400,3000,0.0573088,3400,87.5,4100,3615,3557,2013,87.5
5,College of Engineering,Aerospace Engineering,Nanyang Technological University,3500,3100,0.0573088,3500,95.3,3816,3536,3494,2013,95.3
6,College of Engineering,Bioengineering,Nanyang Technological University,3125,2893,0.0573088,2900,68.8,3365,3166,2952,2013,81.3
7,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3200,3000,0.0573088,3000,85.1,3800,3377,3235,2013,87.3
8,College of Engineering,Computer Engineering,Nanyang Technological University,3175,3000,0.0573088,3100,88.2,3600,3374,3326,2013,90.3
9,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,93.8,3380,3182,3091,2013,94.8
10,College of Engineering,Computer Science,Nanyang Technological University,3125,3000,0.0573088,3000,88.5,3600,3306,3249,2013,92.1
11,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,88.7,3440,3187,3133,2013,91
12,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,0.0573088,3000,81.5,3300,3140,3091,2013,84
13,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,2950,0.0573088,3150,79.6,3400,3203,3160,2013,85.7
14,College of Engineering,Materials Engineering,Nanyang Technological University,3000,2800,0.0573088,3000,78.9,3300,3096,2989,2013,82.5
15,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,0.0573088,3000,89.5,3500,3226,3125,2013,91.6
16,College of Engineering,Maritime Studies,Nanyang Technological University,3000,2850,0.0573088,3000,93.3,3200,3111,3050,2013,95.6
17,"College of Humanities, Arts & Social Sciences","Art, Design & Media",Nanyang Technological University,2500,2300,0.0573088,2500,61.4,2900,2638,2639,2013,81.6
18,"College of Humanities, Arts & Social Sciences",Chinese,Nanyang Technological University,3000,2600,0.0573088,2800,80.5,3300,2924,2818,2013,85.1
19,"College of Humanities, Arts & Social Sciences",Communication Studies,Nanyang Technological University,3000,2700,0.0573088,2930,79.6,3250,2956,2893,2013,89.4
20,"College of Humanities, Arts & Social Sciences",Economics,Nanyang Technological University,3000,2800,0.0573088,3000,83.5,3545,3148,3085,2013,89.9
21,"College of Humanities, Arts & Social Sciences",English,Nanyang Technological University,3100,2800,0.0573088,3000,67.3,3400,3179,3087,2013,82.7
22,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,Nanyang Technological University,2625,2475,0.0573088,2600,81.3,3018,2725,2691,2013,90.6
23,"College of Humanities, Arts & Social Sciences",Psychology,Nanyang Technological University,3000,2750,0.0573088,3000,71.8,3255,3061,3007,2013,82.4
24,"College of Humanities, Arts & Social Sciences",Sociology,Nanyang Technological University,3100,2800,0.0573088,3000,55.8,3310,3082,2980,2013,74.4
25,College of Sciences,Biomedical Sciences **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
26,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,Nanyang Technological University,2807,2700,0.0573088,2800,88.4,3000,2883,2840,2013,90.7
27,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2700,0.0573088,2900,68.1,3250,3002,2881,2013,78.6
28,College of Sciences,Chemistry & Biological Chemistry,Nanyang Technological University,3100,2800,0.0573088,3000,68.9,3400,3083,2993,2013,79.8
29,College of Sciences,Mathematics & Economics **,Nanyang Technological University,na,na,0.0573088,na,na,na,na,na,2013,na
30,College of Sciences,Mathematical Science,Nanyang Technological University,3000,2750,0.0573088,3000,83.7,3500,3262,3169,2013,86
31,College of Sciences,Physics / Applied Physics,Nanyang Technological University,3300,2900,0.0573088,3000,69.2,3400,3208,3164,2013,80.8
32,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,0.0573088,3000,59.1,3400,2985,2968,2013,68.2
33,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3498,3300,0.0573088,3400,100,3800,3478,3377,2013,100
34,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3498,3400,0.0573088,3426,100,3575,3506,3413,2013,100
35,Faculty of Arts & Social Sciences,Bachelor of Arts,National University of Singapore,2800,2500,0.0573088,2730,70.1,3080,2888,2741,2013,84.8
